date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2022-07-10,2022,"Life-saving health and WASH program to crisis-affected populations in Beletweyne and Bulaburte districts, Hiraan region, Somalia.",773782,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Mercy-USA for Aid and Development,NGO,Water Sanitation Hygiene,SOM,"Emergency Inclusive WASH Program in Galagaduud, Mudug and Hiraan regions, South Central Somalia",HSOM22-WSH-184713-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-10,Drought,,,,254731,SOM-22/3485/RA2 /WASH-H/INGO/22038,2022-07-04,2022-07-04
2022-07-10,2022,"Life-saving health and WASH program to crisis-affected populations in Beletweyne and Bulaburte districts, Hiraan region, Somalia.",494713,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Mercy-USA for Aid and Development,NGO,Health,SOM,"Increased access to community- and facility-based health services in Banadir, Galgadud, Mudug, Hiran, and Sool regions in Somalia.",HSOM22-HEA-184568-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-10,Drought,,,,254732,SOM-22/3485/RA2 /WASH-H/INGO/22038,2022-07-04,2022-07-04
2022-07-04,2022,"""Emergency Food Security and Livelihood support to the most vulnerable drought-affected groups in Baidoa and Bardale Districts""",630000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Mercy Corps,NGO,Food Security,SOM,Livelihood Support for vulnerable IDPs and poor Host Communities in Mudug and Galgadud Regions-Galmudug State of Somalia.,HSOM22-FSC-184389-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-02,Drought,,,,254730,SOM-22/3485/RA2 /FSC/INGO/22052,2022-07-04,2022-07-04
2022-06-17,2022,Provision of essential cooperation and information services on safety & security and access to humanitarian aid organizations in Somalia,300000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,International NGO Safety Organisation,NGO,Coordination and support services,SOM,Enabling humanitarian workers' safety and security,HSOM22-CSS-184324-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-17,,,,,254712,SOM-22/3485/RA1/EP/INGO/21878,2022-07-01,2022-07-01
2022-06-17,2022,Improved access to water for drought-affected communities in Las Anod,900001,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Oxfam Novib Netherlands,NGO,Water Sanitation Hygiene,SOM,Emergency WASH Response for people affected by emergency in Somaliland/Somalia ,HSOM22-WSH-184310-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-04,2022-06-17,Drought,,,,254742,SOM-22/3485/RA2 /WASH/INGO/22003,2022-07-04,2022-07-04
2022-06-15,2022,Integrated emergency Health and Nutrition intervention in Lascaanood and Odaweine Districts of Sool and Togdheer Regions,236225,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Health Education Agro-pastoral Liaison,NGO,Nutrition,SOM,Emergency Nutrition Intervention project in El-Afwein of Sanaag Region,HSOM22-NUT-184298-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-15,,,,,254694,SOM-22/3485/RA2 /Nut-H/NGO/21978,2022-07-01,2022-07-01
2022-06-15,2022,Integrated emergency Health and Nutrition intervention in Lascaanood and Odaweine Districts of Sool and Togdheer Regions,236225,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Health Education Agro-pastoral Liaison,NGO,Health,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-15,,,,,254696,SOM-22/3485/RA2 /Nut-H/NGO/21978,2022-07-01,2022-07-01
2022-06-14,2022,Emergency WASH services for drought affected displaced communities in Adado District,600000,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Centre for Peace and Democracy,NGO,Water Sanitation Hygiene,SOM,"Provision of basic and life-saving WASH services in South West, Hirshabelle States, Benadir and Galmudug region of South-Central Somalia",HSOM22-WSH-184553-1,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-14,Drought,,,,254690,SOM-22/3485/RA2 /WASH/NGO/22039,2022-07-01,2022-07-01
2022-06-14,2022,"Improved access to safe water, sanitation & hygiene services for the drought-affected communities in Balcad district",498304,Somalia Humanitarian Fund,Pooled fund,SOM,2022,2022,Somalia Humanitarian Response Plan 2022,HSOM22,1063,Islamic Relief Worldwide,NGO,Water Sanitation Hygiene,SOM,,,,2022,2022,financial,Standard,Traditional aid,internal,single,paid,2022-07-01,2022-06-14,Drought,,,,254713,SOM-22/3485/RA2 /WASH/INGO/22060,2022-07-01,2022-07-01
